lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban,rural_urban_classification,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates__less_than_10_microm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_less_than_2_point_5_micro_m,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18to20,change_birth_rates_17to20,mean_fpp_score,mean_fpp_score_rounded,fpp_mean_difference,fpp_performance
W01001092,Dyfan 2,The Vale of Glamorgan 007B,W02000243,The Vale of Glamorgan 007,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,210,3,16,3,22,2182,10.08,11,13,7,31,2137,14.51,9,27,5,41,2083,19.68,4,30,8,42,2079,20.2,5,24.48,4,18,4,12,4,15.5,27.3,406.8,25.7,651.4,6.4,,6,108,89,116,4.9,32.7,18.9,6,0,30,21,29,28,25,36,23,29,7,3,6,6,3,11,3,4,6,8,5.13,11.7,10.2,1.8,6,10,11,7.5,7.2,99.6,-0.062,6,0.93,2.01,1.36,1.01,0.45,0.28,Consistently decreasing,Decreasing (2017-20),103.6368421,104,4.363157895,Other
W01001093,Dyfan 3,The Vale of Glamorgan 013C,W02000249,The Vale of Glamorgan 013,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,131,5,5,3,13,1812,7.17,3,10,3,16,1818,8.8,8,10,3,21,1805,11.63,5,8,2,15,1798,8.34,3,24.7,3,24,2,16,3,15.2,27.9,504.8,27,641.1,5.8,,4,101,87,123,6.9,25.1,23.1,4,0,26,19,26,26,24,34,29,30,5,2,5,5,3,6,5,4,8,7,4.36,14.4,12.7,1.6,4,11.1,11.4,7.9,2.1,89.8,-0.105,3,1.46,3.12,2.95,1.35,0.7,0.25,Consistently decreasing,Decreasing (2018-20),102.7225131,103,-1.722513089,Other
W01001094,Gibbonsdown 1,The Vale of Glamorgan 007C,W02000243,The Vale of Glamorgan 007,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,109,4,9,3,16,1348,11.87,10,4,3,17,1355,12.55,4,16,0,20,1371,14.59,10,14,4,28,1364,20.53,2,62.15,1,30,2,17,3,17.5,27.2,439.6,28.1,526,8.8,,1,103,86,95,10.7,13.1,26.5,5,0,25,19,26,31,30,37,25,40,3,2,3,5,5,11,3,6,8,8,9.53,6.1,5.6,0.2,5,10.3,11.2,7.7,13.2,100,-0.058,4,1.24,2.29,2.01,,0.43,,Consistently decreasing,Decreasing (2017-20),102.0890052,102,0.910994764,Other
W01001095,Gibbonsdown 2,The Vale of Glamorgan 007D,W02000243,The Vale of Glamorgan 007,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,153,6,11,2,19,1622,11.71,7,15,1,23,1630,14.11,5,15,5,25,1603,15.6,8,13,3,24,1623,14.79,1,96,1,38,1,21,1,20.8,32.6,610.3,32,564.9,5.8,,1,102,88,98,9.2,9.7,35.8,6,0,20,20,21,27,22,31,20,31,2,1,2,3,3,11,1,4,6,5,12.19,8.7,7.6,0.9,5,10.2,11.2,7.7,12.8,100,-0.086,3,1.67,3.52,3.73,0.85,0.56,0.31,Consistently decreasing,Decreasing (2018-20),100.5078534,101,1.492146597,Other
W01001096,Gibbonsdown 3,The Vale of Glamorgan 007E,W02000243,The Vale of Glamorgan 007,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,80,3,8,4,15,1362,11.01,2,5,1,8,1362,5.87,2,13,4,19,1307,14.54,7,9,2,18,1310,13.74,5,24.96,4,18,4,11,4,16.4,24.6,422.5,26.6,641.3,6.5,,5,107,91,121,4.8,12.7,22,7,0,24,22,25,27,21,27,25,37,4,2,4,3,3,8,4,6,9,4,6.85,16.9,15.6,1.8,3,10.7,11.3,7.8,19.5,96.6,-0.093,5,1.11,2.27,1.92,0.85,0.9,,Other,Other,103.6368421,104,3.363157895,Other
W01001097,Gibbonsdown 4,The Vale of Glamorgan 007F,W02000243,The Vale of Glamorgan 007,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,156,4,11,4,19,1777,10.69,7,9,2,18,1760,10.23,5,17,3,25,1739,14.38,11,15,3,29,1722,16.84,2,67.13,1,32,3,16,2,16.7,28.5,567.9,26.8,686.8,4.1,,1,103,85,105,9.9,10.5,32.1,6,0.3,26,20,28,21,21,32,23,27,5,2,5,2,3,12,3,3,4,3,9.02,17.3,15.9,1.6,8,9,10.8,7.3,7,100,-0.06,3,1.48,3.9,2.5,1.75,0.38,0.38,Other,Other,102.0890052,102,0.910994764,Other
W01001098,Illtyd 1,The Vale of Glamorgan 010B,W02000246,The Vale of Glamorgan 010,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,40,2,3,1,6,1084,5.54,0,8,2,10,1087,9.2,2,2,0,4,1091,3.67,3,4,1,8,1110,7.21,10,7.2,10,5,9,5,9,11.2,16.5,200.3,18.6,610.3,6.4,,9,104,92,133,3,40.6,8.5,10,0,22,21,27,32,25,45,32,32,3,2,4,5,3,11,7,7,3,10,0,9.5,8.7,1.1,3,9.1,10.6,7.1,34.9,88,-0.052,8,0.53,1.1,1.52,,,,Other,Other,108.0789474,108,-4.078947368,Other
W01001099,Illtyd 2,The Vale of Glamorgan 013D,W02000249,The Vale of Glamorgan 013,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,80,2,6,6,14,1319,10.61,2,7,1,10,1309,7.64,4,6,1,11,1324,8.31,8,9,1,18,1323,13.61,4,25.08,3,23,4,12,4,16.3,24.3,497.6,24.7,706.9,6.6,,4,103,88,117,7.9,26,20.1,6,0,21,19,26,25,20,45,31,31,3,2,4,5,2,8,7,6,5,9,5,8.8,8.1,1,4,10.3,11,7.5,23.9,99.3,-0.081,6,0.94,1.56,1.61,,0.46,,Other,Other,103.2931937,103,-0.293193717,Other
W01001100,Illtyd 3,The Vale of Glamorgan 010C,W02000246,The Vale of Glamorgan 010,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,57,1,1,2,4,1572,2.54,1,2,3,6,1586,3.78,1,0,3,4,1578,2.53,2,6,3,11,1548,7.11,10,3.68,9,7,8,5,9,12.1,16.4,214.7,16.6,558.8,5,,9,109,92,132,1.8,43.5,10.3,9,0,28,25,28,31,26,49,36,34,5,3,4,5,4,11,7,7,3,10,0.93,9.9,8.8,1.2,6,9.2,10.6,7.2,19,100,-0.041,9,0.48,0.69,1.17,,,,Other,Other,108.0789474,108,0.921052632,Other
W01001101,Illtyd 4,The Vale of Glamorgan 013E,W02000249,The Vale of Glamorgan 013,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,132,3,12,5,20,1605,12.46,7,9,3,19,1610,11.8,9,10,3,22,1574,13.98,7,11,2,20,1586,12.61,5,27.12,4,17,4,11,5,13.6,23.7,376.7,26,719.6,4.1,,5,102,86,120,5.6,28.5,14.9,8,0,20,19,25,20,20,36,30,34,3,2,4,2,2,6,4,7,6,3,4.67,27.6,24.3,5.9,1,10.8,11.2,7.7,48.4,83.1,-0.181,5,1.07,2.39,1.66,0.59,0.35,,Other,Other,103.6368421,104,-1.636842105,Other
W01001102,Illtyd 5,The Vale of Glamorgan 013F,W02000249,The Vale of Glamorgan 013,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,152,9,11,2,22,1645,13.37,4,13,6,23,1632,14.09,1,24,5,30,1633,18.37,3,24,5,32,1616,19.8,7,42.3,5,16,5,10,5,13.2,22.9,467.1,23.7,723,2,,8,106,92,118,3,30.5,10.8,10,0,16,14,18,16,20,39,30,31,2,1,2,2,2,9,7,8,5,4,2.19,39.7,34.7,6.9,7,10.8,11.2,7.7,2.1,100,-0.125,6,0.87,2.18,1.35,0.68,0.34,,Consistently decreasing,Decreasing (2017-20),105.3403141,105,0.659685864,Other
W01001103,Illtyd 6,The Vale of Glamorgan 010D,W02000246,The Vale of Glamorgan 010,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W37000342,Barry BUA,WXX000003,68,0,8,2,10,1202,8.32,1,7,2,10,1183,8.45,0,8,0,8,1204,6.64,3,11,5,19,1202,15.81,10,6.71,9,6,10,4,9,12.6,15.3,230.7,19.8,497.4,4.8,,9,109,91,118,0.5,41,9.5,10,0,22,20,25,32,25,45,30,27,3,3,4,7,4,12,5,5,5,10,3.78,6.9,6.1,0.6,8,10,10.9,7.4,2.1,100,-0.047,9,,1.78,1.34,,0.41,,Other,Other,108.0789474,108,0.921052632,Other
W01001104,Llandough,The Vale of Glamorgan 004E,W02000240,The Vale of Glamorgan 004,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,97,1,10,7,18,1928,9.34,3,10,5,18,1906,9.44,5,8,7,20,1919,10.42,1,10,2,13,1877,6.93,9,12.96,9,7,8,5,8,11.5,18.3,290.2,19.6,686.6,6,,9,107,89,129,1.9,58.1,10.3,5,0,30,25,37,37,21,35,31,41,7,5,11,12,3,12,7,11,7,7,5.33,11.7,10.4,1.9,4,12.5,11.1,7.5,12.7,80.4,-0.016,3,1.12,6.43,1.41,0.9,0.52,0.35,Consistently decreasing,Decreasing (2018-20),107.0104712,107,-0.010471204,Other
W01001105,Llandow/Ewenny,The Vale of Glamorgan 001A,W02000237,The Vale of Glamorgan 001,W06000014,Vale of Glamorgan,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000003,157,1,6,8,15,2863,5.24,2,9,6,17,2865,5.93,2,15,9,26,2804,9.27,2,8,7,17,2747,6.19,9,10.8,10,5,10,3,10,10.5,14.3,223.7,16.3,597.1,5.7,,10,108,92,139,2.2,59.8,6.9,1,21.2,136,134,139,136,106,141,148,156,15,12,15,13,8,16,15,16,11,8,2.23,18.6,17.4,3.4,7,6.5,10.3,6.5,17.3,62.8,0.178,9,0.4,0.63,0.41,0.71,0.17,0.31,Consistently decreasing,Decreasing (2018-20),107.0104712,107,0.989528796,Other
W01001106,Llantwit Major 1,The Vale of Glamorgan 011A,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,64,0,2,3,5,1479,3.38,0,5,1,6,1444,4.16,0,6,2,8,1471,5.44,0,7,1,8,1506,5.31,10,5.68,9,6,10,4,10,9.8,15.7,225.9,19.7,594.8,5.6,,9,105,89,129,1.7,39.5,5.8,10,0.6,22,21,28,20,27,28,36,32,3,2,4,3,3,4,4,5,14,10,0.84,9.9,8.8,1.1,3,5.9,10.2,6.7,25.5,37.6,-0.034,9,0.43,1.21,0.93,,,,Consistently decreasing,Decreasing (2018-20),108.0789474,108,-3.078947368,Other
W01001107,Llantwit Major 2,The Vale of Glamorgan 011B,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,61,2,5,0,7,1564,4.48,0,8,0,8,1586,5.04,0,8,1,9,1568,5.74,0,6,3,9,1559,5.77,9,10.64,8,8,8,6,8,11.2,19.7,342.2,19.7,662,6.5,,9,107,92,132,4,45.1,11.1,10,0.1,25,23,24,24,23,25,28,27,4,3,3,4,3,4,4,5,16,8,3.88,13.7,12.5,2.3,7,5.3,10,6.6,7.5,85,-0.028,5,1.11,1.73,2.03,0.56,0.58,,Consistently decreasing,Decreasing (2017-20),107.0104712,107,-0.010471204,Other
W01001108,Llantwit Major 3,The Vale of Glamorgan 014A,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000051,RAF Station St Athan BUASD,WXX000003,140,5,8,5,18,1867,9.64,4,17,1,22,1803,12.2,5,13,1,19,1734,10.96,1,16,7,24,1753,13.69,8,28.6,7,10,7,7,7,13.1,18,438.6,18.4,587.5,4.6,,8,104,92,131,2.4,21.5,9.7,4,14.4,33,34,35,29,37,37,64,54,6,7,8,5,6,8,8,8,12,9,2.26,17,15.5,3,5,5.4,10.8,6.7,25.4,82.7,0.027,8,0.58,1.12,0.99,1.28,,,Other,Other,106.3036649,106,-2.303664921,Other
W01001109,Llantwit Major 4,The Vale of Glamorgan 011C,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,59,1,4,2,7,1483,4.72,0,4,5,9,1497,6.01,1,6,4,11,1522,7.23,0,7,2,9,1482,6.07,8,9.9,7,11,7,7,6,12.8,21.4,391.4,19.9,679.1,5.1,,8,106,87,127,2.7,37.5,15.5,5,0,46,30,36,37,20,35,21,23,4,3,4,4,2,4,3,2,18,8,3.53,14,12.8,2.6,4,5,10,6.5,38.8,98.3,-0.013,9,0.51,0.99,1.33,,,,Consistently decreasing,Decreasing (2018-20),106.3036649,106,-0.303664921,Other
W01001110,Llantwit Major 5,The Vale of Glamorgan 011D,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,69,0,5,6,11,1664,6.61,1,2,5,8,1532,5.22,0,5,4,9,1513,5.95,2,3,5,10,1453,6.88,9,4.32,10,5,10,3,10,9.2,14.5,176.3,16.7,582.3,3.9,,10,111,91,140,1.2,55.4,8.2,3,13,45,42,43,40,40,47,74,66,8,7,8,7,6,9,10,11,16,6,3.41,22.5,21.1,3.3,7,4.6,9.8,6.4,5.8,48.1,0.054,7,0.8,1.4,1.3,0.83,0.41,,Other,Other,107.0104712,107,3.989528796,Other
W01001111,Llantwit Major 6,The Vale of Glamorgan 011E,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,87,5,7,1,13,1494,8.7,1,8,2,11,1497,7.35,4,5,1,10,1536,6.51,6,8,3,17,1541,11.03,5,30.75,3,20,4,12,4,15.7,24.4,464.3,24.9,606.2,5.5,,4,102,87,118,6.4,26.3,18.9,5,1,29,24,24,26,29,25,34,31,5,3,5,5,5,6,7,7,15,8,4.93,11.1,10.1,1.2,8,5.8,10.2,6.7,2.1,95.5,-0.087,8,0.64,1.2,1.67,,,,Consistently increasing,Increasing (2018-20),103.6368421,104,-1.636842105,Other
W01001112,Llantwit Major 7,The Vale of Glamorgan 011F,W02000247,The Vale of Glamorgan 011,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000067,Llantwit Major BUASD,WXX000003,88,2,14,1,17,1415,12.01,3,7,3,13,1403,9.27,1,9,2,12,1421,8.44,1,17,0,18,1408,12.78,10,9.84,9,6,10,3,10,9.7,15.2,228,20.2,477.6,5.3,,10,108,91,134,2.6,46.6,6,8,0,30,26,28,29,30,29,62,49,7,6,7,7,7,8,9,10,14,10,2.5,7.8,7.3,0.3,9,5.8,10.2,6.6,2.1,92.9,0.03,10,,0.67,0.69,,,,Consistently increasing,Increasing (2018-20),108.0789474,108,-0.078947368,Other
W01001113,Peterston-super-Ely,The Vale of Glamorgan 003A,W02000239,The Vale of Glamorgan 003,W06000014,Vale of Glamorgan,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000003,113,0,6,3,9,2319,3.88,0,10,7,17,2318,7.33,1,9,5,15,2312,6.49,2,9,6,17,2295,7.41,9,6.88,10,4,10,3,10,8.8,13.7,179.4,15.3,561.8,1.4,,10,109,90,143,2,47.7,7.6,1,23.4,76,72,83,66,70,98,128,96,18,13,19,10,8,21,18,17,15,6,1.72,33.1,31,4.7,6,7.8,10.4,6.7,8.7,38.4,0.115,7,0.67,1.36,1.35,1.68,0.66,0.96,Other,Other,107.0104712,107,1.989528796,Other
W01001114,Plymouth (The Vale of Glamorgan) 1,The Vale of Glamorgan 008A,W02000244,The Vale of Glamorgan 008,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,57,0,3,0,3,1544,1.94,0,5,2,7,1560,4.49,0,5,3,8,1547,5.17,0,3,6,9,1554,5.79,10,1.08,10,2,10,2,10,10.7,14.5,203.7,14.1,564.7,5.6,,10,111,96,151,1,69.8,5.2,9,0.6,29,22,31,33,30,33,45,34,6,3,7,8,6,8,14,7,16,10,0.7,11.9,10.5,2.3,5,8.7,10.3,7.1,15.2,85,-0.05,10,,0.8,1.23,1.02,,,Consistently decreasing,Decreasing (2017-20),108.0789474,108,2.921052632,Other
W01001115,Plymouth (The Vale of Glamorgan) 2,The Vale of Glamorgan 008B,W02000244,The Vale of Glamorgan 008,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,136,3,8,6,17,2289,7.43,2,9,3,14,2237,6.26,1,9,5,15,2223,6.75,0,11,9,20,2223,9,9,10.17,8,8,8,5,9,10.5,17.3,340.5,19.2,615.4,1.5,,10,110,93,137,1.5,48.9,10.3,6,0.1,30,22,31,35,29,35,45,34,7,3,7,9,7,10,13,8,15,8,3.32,13.6,12.2,1.9,7,9.2,10.7,7.3,6.2,98.6,-0.037,10,0.28,0.89,1.11,0.77,,,Other,Other,107.0104712,107,2.989528796,Other
W01001116,Plymouth (The Vale of Glamorgan) 3,The Vale of Glamorgan 005A,W02000241,The Vale of Glamorgan 005,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,71,0,2,4,6,1992,3.01,0,2,5,7,1989,3.52,0,5,2,7,1998,3.5,2,4,6,12,2007,5.98,10,2.04,10,5,10,2,10,9.2,18,265.5,16.8,534.5,1,,10,110,99,149,0.6,60.5,4.7,10,0,22,20,29,28,26,25,38,25,3,4,4,5,4,4,12,5,13,7,3.04,21.5,19.3,4.2,4,10.7,10.7,7.4,4.6,63.6,-0.078,9,0.46,0.62,1.56,1.48,0.33,,Other,Other,108.0789474,108,1.921052632,Other
W01001117,Rhoose 1,The Vale of Glamorgan 014B,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Rural,Small Town and Fringe (Less Sparse),W37000249,Rhoose BUA,WXX000003,60,1,8,0,9,1344,6.7,2,4,0,6,1354,4.43,0,5,4,9,1360,6.62,3,5,1,9,1364,6.6,9,14.26,7,10,7,7,7,13.9,20.4,250.6,22.3,599.1,5.8,,8,110,88,126,2.7,24.9,16,8,0.3,31,27,29,30,38,35,53,73,4,4,5,4,5,5,19,20,12,8,4.66,10.6,9.8,1.2,8,6.5,10.6,6.8,2.1,89.2,-0.077,8,0.56,1.78,0.66,0.94,,,Other,Other,107.0104712,107,2.989528796,Other
W01001118,Rhoose 2,The Vale of Glamorgan 014C,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Rural,Small Town and Fringe (Less Sparse),W37000249,Rhoose BUA,WXX000003,161,5,23,7,35,2841,12.32,1,13,7,21,2681,7.83,6,13,7,26,2555,10.18,3,15,3,21,2463,8.53,8,38.15,7,11,7,7,7,13.7,20.6,281.5,22.8,586.2,2.4,,7,107,90,128,3.7,27.2,14,6,1.4,31,24,27,32,30,33,47,60,6,4,4,6,5,5,17,18,14,9,4.87,9.8,9.3,1.6,7,7.2,10.6,6.9,6.5,92.5,-0.079,9,0.35,1.53,1.93,0.63,0.29,,Other,Other,106.3036649,106,0.696335079,Other
W01001119,Rhoose 3,The Vale of Glamorgan 003B,W02000239,The Vale of Glamorgan 003,W06000014,Vale of Glamorgan,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),W37000249,Rhoose BUA,WXX000003,94,1,10,2,13,1976,6.58,1,6,3,10,1974,5.07,1,9,3,13,1922,6.76,2,5,4,11,1870,5.88,8,8.12,9,7,9,5,10,10.1,13.4,258.3,15.8,550.5,2.9,,9,105,92,138,3.6,42.8,7.6,1,27.1,101,92,99,102,79,107,108,126,11,8,10,11,8,11,17,18,12,8,1.8,23.7,22,3.6,5,6.5,10.2,6.6,9.9,41.4,0.036,8,0.55,1.61,0.92,1.16,0.38,,Other,Other,106.3036649,106,-1.303664921,Other
W01001120,Rhoose 4,The Vale of Glamorgan 014D,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Rural,Small Town and Fringe (Less Sparse),W37000249,Rhoose BUA,WXX000003,45,1,6,1,8,1323,6.05,0,4,1,5,1351,3.7,1,4,3,8,1361,5.88,1,5,3,9,1339,6.72,10,2.12,10,5,9,4,9,13.2,17.6,190,19.5,537.5,5.3,,8,108,89,126,3.3,36.4,9.9,9,1,31,27,28,31,31,31,50,54,5,4,5,5,5,5,20,20,13,10,1.74,11.6,10.4,1.3,6,7.1,11.1,7.1,2.1,68,-0.044,9,0.54,1.07,0.61,,,,Other,Other,108.0789474,108,-0.078947368,Other
W01001121,St. Athan 1,The Vale of Glamorgan 014E,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000051,RAF Station St Athan BUASD,WXX000003,77,3,7,1,11,1621,6.79,3,10,3,16,1631,9.81,3,10,2,15,1618,9.27,3,5,2,10,1576,6.35,5,25.08,4,18,4,12,4,15.8,22.2,551.2,24.2,701.3,5.2,,5,103,88,116,4.6,22.1,22.1,9,13.2,20,20,20,21,24,22,61,62,3,2,3,3,3,3,15,16,5,5,7.23,12.6,11.7,2.3,7,5.5,10.2,6.6,2.1,55.7,-0.006,5,1.1,2.28,2.34,0.86,,0.44,Other,Other,103.6368421,104,-0.636842105,Other
W01001122,St. Athan 2,The Vale of Glamorgan 014F,W02000250,The Vale of Glamorgan 014,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000051,RAF Station St Athan BUASD,WXX000003,257,13,9,9,31,3154,9.83,6,19,7,32,3095,10.34,6,19,3,28,3130,8.95,8,33,6,47,3047,15.43,9,51.98,7,11,8,5,8,13.3,17.6,333.5,15,489.8,3.7,,6,106,88,124,3.6,20.8,14.6,6,20.4,27,26,28,29,39,32,67,64,6,3,6,6,7,6,15,15,10,9,2.56,14.8,13.6,2.1,8,5.7,11.1,6.9,2.1,93.5,0.025,9,0.46,1.39,0.9,0.7,,0.18,Other,Other,107.0104712,107,-1.010471204,Other
W01001123,St. Augustine's 1,The Vale of Glamorgan 005B,W02000241,The Vale of Glamorgan 005,W06000014,Vale of Glamorgan,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,50,0,7,3,10,1566,6.39,0,8,2,10,1602,6.24,4,10,4,18,1537,11.71,0,2,5,7,1585,4.42,9,12.07,8,9,8,6,9,11.4,18.8,298.1,20.3,565.6,0,,10,109,98,128,3.1,46.1,9.2,9,0,24,22,22,24,22,25,35,34,4,4,3,5,3,4,9,9,9,7,2.94,18.9,17,3.5,7,11.8,11.1,7.6,2.1,100,-0.085,6,0.84,1.7,2.53,0.86,0.73,,Other,Other,107.0104712,107,1.989528796,Other
